CustomerID,Recency,Frequency,Monetary,Cluster
10000,55,1,514.35,3
10001,411,9,3021.5,2
10002,122,1,69.37,3
10003,28,2,204.28,3
10004,244,8,3166.5299999999997,2
10005,12,1,113.8,3
10006,21,27,34477.92,0
10007,56,5,3765.15,1
10008,33,19,19128.69,0
10009,29,11,3164.76,1
10010,17,12,2409.91,1
10011,24,2,738.57,3
10012,69,2,1193.86,3
10013,30,13,3186.05,1
10014,22,3,1571.97,3
10015,53,12,2879.62,1
10016,9,28,29967.2,0
10017,156,1,893.01,3
10018,21,19,19540.15,0
10019,43,2,1024.94,3
10020,289,9,2878.92,2
10021,67,3,1254.33,3
10022,29,15,19489.2,0
10023,79,2,634.14,3
10024,384,4,2282.9700000000003,2
10025,404,5,2052.12,2
10026,273,4,1650.74,2
10027,15,26,31068.95,0
10028,83,10,3793.55,1
10029,10,18,16694.670000000002,0
10030,64,1,847.9000000000001,3
10031,212,7,3016.8,2
10032,16,10,3158.09,1
10033,10,25,33137.32,0
10034,17,12,3242.7999999999997,1
10035,37,15,3824.21,1
10036,294,5,2405.43,2
10037,252,6,3366.1,2
10038,18,2,492.05999999999995,3
10039,3,17,5131.25,1
10040,18,25,21228.32,0
10041,343,5,2822.5,2
10042,303,3,1668.21,2
10043,427,4,2682.33,2
10044,248,7,2765.38,2
10045,11,15,3695.23,1
10046,43,11,3062.64,1
10047,29,17,5429.19,1
10048,6,20,29047.27,0
10049,5,15,15837.7,0
10050,22,16,17044.41,0
10051,237,7,4962.3,2
10052,47,13,1820.82,1
10053,33,13,3333.99,1
10054,7,2,474.16,3
10055,47,4,3070.96,1
10056,25,10,2085.08,1
10057,409,8,6337.75,2
10058,75,4,3385.83,2
10059,16,19,23839.38,0
10060,70,3,2912.91,2
10061,35,2,1539.76,3
10062,84,2,1039.92,3
10063,91,1,825.29,3
10064,372,8,1396.79,2
10065,57,1,331.1,3
10066,39,1,120.98,3
10067,123,4,1874.8,2
10068,41,1,38.02,3
10069,11,12,3158.48,1
10070,16,2,332.36,3
10071,102,2,824.76,3
10072,10,10,4729.4,1
10073,15,26,25107.77,0
10074,34,5,7811.41,1
10075,40,11,2858.55,1
10076,23,2,1241.4,3
10077,36,1,126.38,3
10078,21,24,44373.79,0
10079,17,15,4196.73,1
10080,52,10,3876.64,1
10081,26,4,3820.67,1
10082,20,19,21998.7,0
10083,40,16,4898.92,1
10084,9,2,291.43,3
10085,5,18,5020.85,1
10086,54,13,2351.04,1
10087,242,9,5500.38,2
10088,3,15,3684.05,1
10089,93,1,111.74,3
10090,48,1,233.99,3
10091,140,3,2031.66,2
10092,13,17,4653.94,1
10093,42,11,1386.75,1
10094,78,2,1705.92,3
10095,12,27,26141.75,0
10096,254,8,3896.67,2
10097,30,14,4923.22,1
10098,19,24,33727.07,0
10099,66,5,3972.5099999999998,2
10100,18,2,642.3900000000001,3
10101,130,2,732.54,3
10102,21,19,28855.239999999998,0
10103,46,18,4081.2599999999998,1
10104,32,1,233.69,3
10105,31,4,1932.6999999999998,3
10106,253,8,4103.87,2
10107,297,4,1918.42,2
10108,70,3,1893.21,3
10109,393,9,2982.16,2
10110,18,14,2270.11,1
10111,284,3,890.11,2
10112,386,9,4749.63,2
10113,12,18,3282.0299999999997,1
10114,21,21,25803.61,0
10115,26,2,388.86,3
10116,24,10,3059.12,1
10117,96,3,1692.06,3
10118,23,17,26338.57,0
10119,379,6,3741.9,2
10120,306,9,3573.54,2
10121,19,20,29106.1,0
10122,14,14,3392.34,1
10123,125,2,1460.94,3
10124,297,5,3800.84,2
10125,52,5,4521.92,1
10126,308,8,5413.49,2
10127,34,14,4353.21,1
10128,93,2,1032.23,3
10129,16,25,24093.02,0
10130,23,12,3661.57,1
10131,9,22,19716.71,0
10132,69,1,565.77,3
10133,83,1,90.56,3
10134,62,5,2830.43,2
10135,399,4,3977.95,2
10136,137,1,202.39,3
10137,419,4,1303.91,2
10138,22,10,3894.25,1
10139,79,3,1565.8600000000001,3
10140,14,26,34327.06,0
10141,132,2,920.26,3
10142,3,2,846.2,3
10143,234,7,2757.7200000000003,2
10144,41,10,3045.17,1
10145,21,16,4718.16,1
10146,401,9,6971.9,2
10147,27,1,456.27,3
10148,53,1,596.7,3
10149,366,4,2319.85,2
10150,315,9,4055.1,2
10151,16,17,22556.42,0
10152,24,3,3326.69,1
10153,111,1,1075.8799999999999,3
10154,291,9,4443.91,2
10155,13,23,34988.58,0
10156,16,17,22368.91,0
10157,332,3,1263.63,2
10158,11,19,15021.5,0
10159,45,3,3049.61,3
10160,15,12,2251.68,1
10161,396,7,3063.81,2
10162,397,7,3824.86,2
10163,5,5,3556.88,1
10164,282,6,2768.0,2
10165,107,2,1141.49,3
10166,30,16,3635.94,1
10167,278,4,2357.69,2
10168,227,6,5648.38,2
10169,81,1,668.76,3
10170,356,9,3259.6,2
10171,375,3,2722.92,2
10172,21,17,18191.06,0
10173,21,19,5708.15,1
10174,53,5,2520.0099999999998,1
10175,75,3,4518.48,2
10176,30,2,1134.04,3
10177,23,17,4767.59,1
10178,152,1,112.26,3
10179,346,5,1700.8500000000001,2
10180,394,4,3004.11,2
10181,16,14,4486.19,1
10182,335,8,5614.75,2
10183,21,12,3128.44,1
10184,162,3,2818.14,2
10185,387,3,1319.48,2
10186,58,4,3304.25,2
10187,17,28,43594.4,0
10188,411,7,3398.2400000000002,2
